name,date,startTime,endTime,location,description,lat,lng
Housing Complex Check-Ins,9/13/2019,8:00 AM,5:00 PM,"Rexburg, Idaho",New students will check into their apartments.,,
Registration,9/13/2019,9:00 AM,5:00 PM,Get Connected Tent,"New students can register for Get Connected activities here. Registration grants access to the New Student Talent Show, a free lunch, and I-Night!",43.81792,-111.783822
Meet Your I-Team,9/13/2019,3:00 PM,3:40 PM,BYU-Idaho Stadium,"At 3:00 p.m. on September 13, students will meet their New Student Mentor at the Meet Your I-Team gathering. Here, students will make new friends and get acquainted with other new students at BYU-Idaho. Meet Your I-Team will take place at the BYU-Idaho Stadium adjacent to the Hart Building.",43.82102,-111.785403
